course_code,course_title,course_teacher,link,fas_code,unique_code
EXPOS 20,Expository Writing 20 242,Strauss,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a8721f7ef3cfc767be06a8422c24ada728d8841ae3e8aeb0423232daa741e0de9df17c3208348f40a24c0b37186f3282&ReportType=2&regl=en-US,FAS-116353-2252-1-1-242,FAS-116353-2252-1-1-242(Strauss)
EXPOS 20,Expository Writing 20 243,Strauss,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8593a326254118b83d1528a01dec5e7d26525c4f0343611fc5e913f4decf6e288a3e9fcb3cee7dbf0445449b5874ea89&ReportType=2&regl=en-US,FAS-116353-2252-1-1-243,FAS-116353-2252-1-1-243(Strauss)
EXPOS 20,Expository Writing 20 244,Sweeney,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fa84ff6c092df5d48d4878f72e2769b79e306b6f06ff21de4be9c6dc3ac5ccafb37a88c96d54ad0d585a07f816e3b97a&ReportType=2&regl=en-US,FAS-116353-2252-1-1-244,FAS-116353-2252-1-1-244(Sweeney)
EXPOS 20,Expository Writing 20 245,Sweeney,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c8e74874fc3de063b4f3d6c789400c3f22f42b8d46fd00625c9512ebabb25650af368e05ab746c61a0e7d9e2c5a7869d&ReportType=2&regl=en-US,FAS-116353-2252-1-1-245,FAS-116353-2252-1-1-245(Sweeney)
EXPOS 20,Expository Writing 20 246,Turley,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=321ae3fb13ec7618915f1efd1147b6103c0fc4cb1974e2d136f8b9cce28e4f837d54a70f1715eacfc4dec9e0433a68e0&ReportType=2&regl=en-US,FAS-116353-2252-1-1-246,FAS-116353-2252-1-1-246(Turley)
EXPOS 20,Expository Writing 20 247,Turley,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3ec7d064ef633de492448891dc897ca29fd7580a7a4bb5a2d11aae53c522c7024dc75a7c0f17481dcd8d8fb7052af0d7&ReportType=2&regl=en-US,FAS-116353-2252-1-1-247,FAS-116353-2252-1-1-247(Turley)
EXPOS 20,Expository Writing 20 248,Willison,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f19af6a01521708bf766d483101a21b6bd7853645c31736205f7e47d2e8acaef1da2241447f10a9267a40330e95b9b33&ReportType=2&regl=en-US,FAS-116353-2252-1-1-248,FAS-116353-2252-1-1-248(Willison)
EXPOS 20,Expository Writing 20 249,Willison,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cc83df6a2a0a91ccdf8bf6b67eada393a429a8926fd65a596e1ac2867110555ef6be38b296051882bb06eec1d7f83e2b&ReportType=2&regl=en-US,FAS-116353-2252-1-1-249,FAS-116353-2252-1-1-249(Willison)
EXPOS 20,Expository Writing 20 250,Zecca,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=dd42a1fdc650e416099651f75d2111c5e9e8b8ff4a249eabfc857b15ef7ce6f2923bc8150d04840ac1c839ba662658c1&ReportType=2&regl=en-US,FAS-116353-2252-1-1-250,FAS-116353-2252-1-1-250(Zecca)
EXPOS 20,Expository Writing 20 251,Zecca,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=aed9353d1b5d00ec216c0daef686a88ce6d860df59b4f538f1492eafae8b45166b3f01b5c85e0319a42bac191f2760f8&ReportType=2&regl=en-US,FAS-116353-2252-1-1-251,FAS-116353-2252-1-1-251(Zecca)
EXPOS 20,Expository Writing 20 252,craig,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=82237355b79514c891042edf4ad053c1255fa32f0f1d94a4c48aa6884cc77ef2f67f2233cfba0575012f032849d2cfa0&ReportType=2&regl=en-US,FAS-116353-2252-1-1-252,FAS-116353-2252-1-1-252(craig)
EXPOS 20,Expository Writing 20 253,craig,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=803585eb9681f0db6fd4afaa636ab19c211454efed1e347eeef8df07389dbb350c37d1a6d5c888daca182c4029cb9a47&ReportType=2&regl=en-US,FAS-116353-2252-1-1-253,FAS-116353-2252-1-1-253(craig)
EXPOS 20,Expository Writing 20 255,Brown,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0cad3d892624d8ae60b421fe91c2612707f1cd83b42d3ea6829d4e7b9468e806d3e3028ce00bedd7cde29b7888d58253&ReportType=2&regl=en-US,FAS-116353-2252-1-1-255,FAS-116353-2252-1-1-255(Brown)
EXPOS 20,Expository Writing 20 256,Musselman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8b9a5c584a5b24bb9ed6e4cc8bfa856ed2863bd1919f4ee3e24d80e5e48b2a0eee806b128405246d50acf1b0e4d90d96&ReportType=2&regl=en-US,FAS-116353-2252-1-1-256,FAS-116353-2252-1-1-256(Musselman)
EXPOS 20,Expository Writing 20 257,Musselman,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=30ac58452a30a94539e7882cf558eaaa2ed230f415ccd0301be4411cd5444e84dcd7b99c82e6235fec952f5b3cd52cf8&ReportType=2&regl=en-US,FAS-116353-2252-1-1-257,FAS-116353-2252-1-1-257(Musselman)
EXPOS 20,Expository Writing 20 ES02,Bellanca,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=38e419eb51c079cdd267c51fc27a272c3fea70e32bd5f76ea85757fc6e98f36698c738c4ec41cb12449c25e256719806&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES02,FAS-116353-2252-1-1-ES02(Bellanca)
EXPOS 20,Expository Writing 20 ES03,Hanes,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0d65006a39cd56d267d0ed57b74fadcd38393c23edbf0922e82dea2e588cceed61d05c32f3356aa36db2e1d6e2242274&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES03,FAS-116353-2252-1-1-ES03(Hanes)
EXPOS 20,Expository Writing 20 ES04,Hanes,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=44d2890e796d880929a0b02d9b52c387de7a2be6925c06b2cd4c9cedac5649e51bb511aa95a4a6ae1b9193c63c6dcd0a&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES04,FAS-116353-2252-1-1-ES04(Hanes)
EXPOS 20,Expository Writing 20 ES05,Johnson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a9d112658c145e418b733eff3fd1ed0ca7c90b0f2cacb6ff8510f3d153887d1d0cd22489f24a8f0ed0e722206a22f15b&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES05,FAS-116353-2252-1-1-ES05(Johnson)
EXPOS 20,Expository Writing 20 ES06,Johnson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=422c5bebd68e9ebb85b622ec6e90532e0652db019051371c9272074936232f8094735c1e51293734f87d189148460d83&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES06,FAS-116353-2252-1-1-ES06(Johnson)
EXPOS 20,Expository Writing 20 ES07,Johnson,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e878f62179636f565368aa3efed50a912fcf12d52e1ba0538ae64484fd595e3e7e4efe96f3cf1c61a01a1af6ff58bb7b&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES07,FAS-116353-2252-1-1-ES07(Johnson)
EXPOS 20,Expository Writing 20 ES09,Kauders,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7eef5ddd05b86044800e531246d5c986d08f97706270981d47d155faa7434356b8f7c648f4db5e891cdf8dcdc10671f3&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES09,FAS-116353-2252-1-1-ES09(Kauders)
EXPOS 20,Expository Writing 20 ES10,Kauders,https://harvard.bluera.com/harvard/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=be52b2a191cca0ad76c8843c8ab59ca7eb39f6c4d7ddc331dd2052cc512f89e075a17ec83694bacb1e997c18430a2b52&ReportType=2&regl=en-US,FAS-116353-2252-1-1-ES10,FAS-116353-2252-1-1-ES10(Kauders)
